text,label
is  frankly  at  a  loss  as  far  as  her  current  internal  project ,1
is  gonna  stay  awake  all  night  then  i  should  be  able  to  just  pass  out  at  9  pm  tomorrow  today ,1
cant  sleep  remedies ,1
why  are  the  people  i  want  to  talk  to  never  online  when  i  am ,1
needs  to  stop  stressing  over  her  personal  stuff  homework  beckons  with  a  bejeweled  smirking  claw  and  i  must  answer  tethered  by  iron  to  the  responsibilities  of  real  life ,1
is  in  love  with  her  hair  today  3 ,1
was  right    today  was  pretty  much  fantastic  all  around ,1
feels  tomorrow  will  be  a  busy  and  very  nice  day   ,1
is  in  the  last  day  of  her  twoday  mad  dash  to  finish  can  she  get  all  her  work  done  it  time ,1
is  it  a  problem  if  my  main  reason  to  come  to  facebook  now  is  to  join  groups  and  become  a  fan  of  things ,1
had  a  three  hour  nap  this  afternoon  and  cant  sleep  because  of  it ,1
my  dogs  are  so  hood ,1
is  on  a  roll  one  short  of  a  turkey  now ,1
cant  breathe  and  feels  like  her  insides  are  clawing  their  way  out  through  her  belly  button  i  hate  pain ,1
is  reflecting  on  it  and  is  actually  very  happy  shes  not  in  ib  right  now ,1
has  her  class  ring  in  with  its  changes  whoop  whoop  3  d ,1
kiss  kiss  lick  3 ,1
is  too  lazy  to  put  her  stuff  back  in  order  maybe  tomorrow ,1
has  a  serious  crush  on  propname  3 ,1
has  bed  bugs  ewwwww ,1
and  mosquito  bites ,1
mondays  are  the  new  thursdays  anthony  bourdain    propname    forgetting  your  financial  troubles ,1
is  annoyed  with  herself ,1
is  not  turning  on  her  cell  at  the  moment  or  for  the  next  few  days  dont  take  it  personally ,1
is  trying  to  figure  out  everything ,1
wants  no  more  friend  or  exboyfriend  drama  drama ,1
is  out  for  the  count ,1
its  the  little  things  in  life  fresh  flowers  katie  ion  netflix  instant  movies ,1
is  bummed  the  instant  movie  didnt  pull  through ,1
wants  to  go  to  paris  anyone  care  to  accompany  me ,1
one  minute  at  a  time ,1
loves  avoiding  burning  a  whole  in  her  pocket  lesportsac  purses  and  dvd  overload ,1
really  hates  californias  economy  right  now ,1
i  lostmy  ex  is  in  a  relationship  before  me ,1
is  having  a  great  day  so  far  thanks  to  santa  paula  noon  meetings  and  my  mom ,1
is  propnames  bestbian ,1
misses  the  ability  to  drive ,1
mi  familia  de  la  cuidad  de  mexico  esta  aqui  necesito  que  practicar  mi  espanol ,1
is  wearing  red  lipstick  watching  movies  hot  boys  and  her  mother  screech  at  the  family  dog  random  doesnt  even  begin  to  describe  this  scene ,1
anthony  bourdain  bliss ,1
turbo  tax  tried  charging  me  140  dollars  to  process  my  taxes  my  mom  did  it  for  free  fuck  you  turbo  tax  and  thanks  mom  for  saving  the  day ,1
is  on  her  way  up  north  to  face  her  judgement ,1
target  is  my  savior  sandals  dresses  and  shirts  oh  my ,1
is  slightly  smitten  with  the  phoenix  family  its  weird  i  know ,1
is  hoping  to  finally  get  a  break  tomorrow ,1
rhinanna  is  just  getting  crazier  and  crazier  or  more  stupid ,1
feels  like  a  bum  without  legs ,1
having  a  job  again  is  weird  but  welcome ,1
is  3  years  to  go ,1
s  electronics  are  giving  out ,1
is  celebrating  her  90th  day  with  dieting  and  work  whahooo  not ,1
is  in  love  with  her  new  black  peacoat  who  else  is  pumped  its  fall ,1
is  sick  in  an  way  shes  never  been  physically  sick  before  feels  like  a  hangover  mixed  with  the  flu  mixed  with  weakness  and  nausea ,1
hates  the  business  that  is  the  united  states  healthcare  system ,1
thinks  rhiannas  italian  vogue  photoshoot  is  in  bad  taste  and  inappropriate  yuck ,1
is  excited  for  nbc  thursdays  especially  excited  for  community ,1
is  in  love  with  propname ,1
la  vie  en  rose  there  are  no  words  absolutely  brilliant  honest  and  beautiful  movie ,1
is  flashing  lights  kanye  style ,1
i  got  a  break  a  3000  healthcare  break  whoooooo ,1
is  actually  going  to  see  someone  besides  my  mother  on  my  day  off  no  offense  mom  u  r  fabulous  but  im  turning  into  a  13yearold  notoutoftheclosetyet  gay  man  by  the  amount  of  time  i  spend  with  you ,1
arggggggggggggg ,1
true  blood  is  getting  me  in  the  halloween  spirit  damn  bill  is  hot ,1
michael  scott  dancing  in  the  booze  cruise  episode  is  really  entertaining  to  me  right  now ,1
the  office  cleaning  and  hanging  con  mi  madre  are  my  drugs  of  choice  this  evening ,1
rip  prague  nights  fall  semester  2007 ,1
needs  a  hot  hair  cut  anyone  know  where  i  can  get  a  fierce  one  for  under  50  in  vc ,1
wants  to  know  when  she  became  a  single  35yearold  lady  tonight  i  visited  a  dating  site  and  watched  accidentally  on  purpose  and  felt  for  the  characters  seriously ,1
is  ready  for  her  day  off ,1
life  is  looking  up ,1
is  excited  to  kick  it  old  school  with  an  old  friend  in  a  new  place ,1
why  does  netflix  need  me  to  have  at  least  6  dvds  in  my  queue  i  think  5  is  quite  enough  thank  you  gluttonous  merica ,1
is  rediscovering  her  love  for  bjork ,1
money  teeth  cleaning  gmas  bus  top  secret  errand  target  rodarte  dress  for  40  some  warm  and  comfy  themed  xmas  shopping  spending  time  with  mom  coffee  sephoracom  the  office  stepping  outside  and  forgetting  how  cold  it  gets  without  proper  coverage  productive  and  selfindulgent  bliss  not  a  bad  day  off ,1
wants  to  find  a  way  to  san  fran  after  the  new  year ,1
is  in  love  with  propname ,1
is  going  to  start  using  disposable  cameras  again  she  agrees  with  stephanie  that  the  anticipation  of  not  knowing  what  will  show  up  is  very  missed ,1
thank  you  to  everyone  who  sent  me  fb  love  and  made  my  birthday  more  special  than  i  could  ever  have  imagined  im  sooooooo  lucky  to  have  so  many  great  souls  in  my  life ,1
is  very  excite  for  today  and  this  weekend ,1
its  a  beautiful  fall  day  in  southern  california ,1
s  gma  is  the  coolest ,1
wishes  she  was  moving  on  up  in  the  world  but  at  least  she  has  jamie  to  get  her  through  it ,1
today  is  my  2  month  birthday ,1
intervention  heroine  and  xanax  and  crack  oh  my ,1
is  having  a  bad  day  not  even  target  shoes  nor  a  good  guacamole  carls  jr  burger  could  bring  me  up ,1
summer  heights  high  jamie  jonah  and  mr  g  im  hooked  on  chris  lilley ,1
um  amy  poehler  is  rocking  my  world  right  now  seriously  the  bad  date  rant  was  hysterical  tivo  that  shit  and  by  that  shit  i  mean  parks  and  recreation ,1
ten  movies  to  watch  right  now  and  some  you  can  instant  netflix  1  la  vie  en  rose  2  shrink  if  you  love  la  3  paris  jetaime  if  you  love  paris  3  clay  pidgeons  propname  is  priceless  4  quills  5  away  we  go  6  sunshine  cleaning  7  a  league  of  their  own  8  smart  people  i  heart  propnames  page  and  sjp  9  frostnixon  10  doubt ,1
is  stuck  on  bandaid  brand  cuz  bandaids  stuck  on  me ,0
just  going  to  grab  some  raw  fish ,0
saw  hp6  funny  lots  of  awesome  awkward  silences  but  the  scriptwriter  needs  to  have  his  fingers  broken  not  only  did  they  achieve  new  and  improved  levels  of  editing  important  plot  elements  out  but  they  are  getting  increasingly  more  creative  with  the  n ,0
need  to  relearn  my  patterns  again  awesome ,0
free  slurpee  day ,0
has  got  to  stop  waking  up  at  1pm ,0
is  not  feeling  exactly  topnotch ,0
will  have  too  many  notifications  at  the  next  log  in ,0
first  day  of  school  done  finances  are  going  to  be  the  end  of  me ,0
is  tired  and  for  some  reason  is  looking  forward  to  classes  starting ,0
2  months  of  hell  yet  again  fml ,0
got  to  play  with  fire  in  front  of  a  crowd  yay ,0
is  in  love  with  ren  fest ,0
3  days ,0
what  a  great  day ,0
loves  the  pirate  english  version  of  facebook ,0
has  a  choice ,0
2  days ,0
ren  fest  with  rain    still  good ,0
kindly  thanks  everyone  who  wished  him  a  happy  birthday ,0
finance  class   ,0
gets  to  sleep  tonight ,0
3  hours  left ,0
as  much  as  i  like  our  familys  mechanic  i  really  wish  wed  stop  giving  him  so  much  business   ,0
is  dying  heeeeelppppp ,0
saturday  was  easily  one  of  the  best  days  of  my  entire  life ,0
feeling  slightly  better ,0
ive  done  it    i  procrastinated  enough  by  playing  bejeweled  blitz  to  cause  it  to  go  offline  mlia ,0
is  potentially  going  to  be  pulling  an  allnighter  feel  free  to  txt  to  keep  me  entertainedawake ,0
 ,0
finally  caught  up  on  sleep  d  now  off  to  rake  more  leaves  and  then  lose  sleep  yet  again  while  studying  accounting    call  me  if  ur  bored  ill  be  up  late ,0
attention  everyone  vote  for  the  short  after  hours  to  support  propname    our  local  michigan  talent  and  a  wonderful  person  repost  please ,0
is  looking  forward  to  eating  his  body  weight  tomorrow   ,0
yesterday  after  school  i  got  bored  and  decided  to  go  into  the  backyard  and  play  with  my  slingshot  i  didnt  have  any  ammo  so  i  just  used  peanuts  and  shot  them  at  trees  i  decided  to  shoot  at  one  really  far  away  out  of  nowhere  a  squirrel  leaped  out  of  a  tree  intercepted  the  peanut  landed  on  another  tree  ate  the  peanut  gave  me  what  looked  like  a  thumbsup  and  ran  away  ninja  squirrel  you  amaze  me  mlia ,0
would  love  to  sleep  but  propname  writes  too  damn  well ,0
is  rather  looking  forward  to  the  holidays  because  of  his  potential  whereabouts  during  that ,0
gets  overly  excited  when  pressing  the  wrong  buttons  on  the  keyboard  causes  the  discovery  of  a  new  shortcut   ,0
considers  himself  to  be  one  of  the  luckiest  men  ever   ,0
wow  i  just  spent  20  minutes  reading  just  this  one  strip ,0
cant  handle  reading  any  more  crap  about  barbies  and  other  competing  brand  dolls  this  is  ridiculous    the  only  thing  making  me  feel  a  little  more  manly  is  the  beer  in  my  hand ,0
acquired  6  brothers  and  sisters  today ,0
4  school  days  left  until  winter  break  yay ,0
will  probably  be  up  all  night    feel  free  to  txt  or  chat ,0
lmao  512  you  kept  spraying  the  cat  with  water  and  then  telling  it  to  man  up  when  it  cried ,0
listening  to  some  very  odd  combinations  of  music  and  blames  the  late  hour  for  it ,0
wishes  it  was  december  17th  sooner   ,0
cannot  wait  to  pass  out    too  bad  thats  not  gonna  happen  til  friday  night ,0
gonna  be  at  the  library  til  late  then  at  the  prezs  house  even  later  txt  or  facebook  if  need  anything    call  if  being  killed ,0
well  expected  returns  are  like  oh  its  just  you  but  unexpected  returns  are  like  whoa ,0
cant  believe  how  much  food  and  beverages  were  consumed  last  night ,0
snow ,0
stupid  people  are  stupid  and  beverly  hills  police  is  at  its  best  as  usual    propname  needs  to  call  me ,0
epic  today  while  walking  on  campus  i  saw  three  people  riding  a  motorized  couch  random  mlia ,0
is  excited  for  relaxing  a  little  bit  tonight   ,0
got  home  today  up  north  was  great ,0
cant  wait  til  thursday  3 ,0
happy  new  year  facebook  denizens ,0
apparently  the  mysterious  propname  who  allegedly  works  for  my  company  decided  to  order  more  stuff  for  me  from  some  office  supply  company  im  supposed  to  get  4  more  packages  tomorrow  hmmmm  i  almost  have  enough  to  build  an  epic  fort ,0
mlig ,0
cant  wait  til  thursday  again  3 ,0
being  fancy  is  fun ,0
omg  the  sun  is  toooo  loud ,0
second  half  of  the  day  got  snowed  in    gonna  take  a  nap  and  then  be  productive   ,0
just  had  the  most  amazing  weekend  3rd  dan  test  went  well  everyone  passed  with  flying  colors  valentines  day  was  spent  well  in  the  company  of  the  best  girlfriend  in  the  world    propname  what  more  could  i  ask  for  ps  thank  you  to  everyone  who  could  make  it  out  to  novi  to  watch  me  test  or  to  celebrate  at  the  banquet  afterward    it  really  means  a  lot  to  me ,0
just  had  the  most  amazing  weekend  3rd  dan  test  went  well  everyone  passed  with  flying  colors  valentines  day  was  spent  well  in  the  company  of  the  best  girlfriend  in  the  world    propname  what  more  could  i  ask  for ,0
back  from  vacation  and  tired ,1
its  a  good  night  for  fishing ,1
damn  close  game  on  monday  my  dolphins  almost  pulled  it  off ,1
it  was  a  close  one  but  a  w  is  a  w  go  dolphins ,1
sick  as  shit ,1
happy  veterans  day  thank  a  veteran  dammit ,1
how  about  thems  steelers ,1
done  with  finals ,1
passed  the  praxis ,1
nicel  little  test  for  propname  way  to  show  them  propname  how  to  play  pro  football ,1
had  a  great  day  at  church ,1
so  not  a  day  for  work  good  thing  im  working  nights  this  week  d ,1
transformers  watched ,1
is  living  life  one  day  at  a  time ,1
just  watched  an  episode  of  locked  up  abroad  dont  take  your  freedom  for  granted  people  its  a  blessing ,1
is  going  to  die  to  self ,1
is  happy  for  his  gf  congrats  babe  i  knew  you  could  do  it ,1
in  contemplation  mode ,1
jesus  said  to  love  others  as  you  love  yourself  so  first  you  have  to  love  yourself ,1
is  trying  to  fight  it  off ,1
is  doing  to  die  to  self ,1
had  a  great  weekend  with  her  we  have  to  do  that  again  babe ,1
is  kinda  having  a  rough  morning  but  its  looking  up ,1
is  worn  and  battle  weary  but  i  refuse  to  give  up ,1
today  is  another  day  you  dont  get  better  by  making  a  right  choice  once  you  get  better  by  making  the  right  choice  everyday  over  and  over  again ,1
is  learning  constantly ,1
first  time  in  a  long  time  i  feel  like  writing ,1
is  at  an  interesting  stage  in  his  life ,1
is  sick ,1
is ,1
is  etching  closer  to  becoming  stir  crazy ,1
is  back  home  sleepy  but  cant  sleep  just  yet ,1
needs  to  tie  up  loose  ends ,1
is  going  to  sleep  soon ,1
has  had  an  interesting  start  to  saturday ,1
is  transitioning ,1
had  a  great  night ,1
is  going  to  spend  some  time  with  her ,1
has  tied  up  one  loose  end  feels  lighter  already ,1
is  still  patiently  waiting  for  9 ,1
bye  fb ,1
is  sick ,1
after  a  slight  rebuild  betsy  20  lives  to  surf  the  net  again ,1
merry  christmas  people ,1
feels  loved  and  appreciated ,1
had  a  wonderful  night  with  family  and  friends  the  night  cap  was  wonderful  though  weeeee  i  got  my  shirt ,1
is  celebrating  with  her ,1
celebrating  1  year ,1
is  smiling ,1
there  can  be  no  complaints  from  the  arsenal  fans  about  todays  results  wunna  get  wash  off ,1
i  have  no  excuses  least  of  all  for  god  like  all  tyrants  he  is  not  worthy  of  the  spit  you  would  waste  on  negotiations  the  deal  we  have  is  infinitely  simpleri  dont  call  him  to  account  and  he  extends  me  the  same  courtesy ,1
back ,1
rip  open  the  diseased  heart  of  a  corporation  and  what  spills  out  on  people ,1
youre  wicked  overseer ,1
keep  government  away  from  my  medicare  as  good  a  summary  of  american  politics  as  one  is  likely  to  get  these  days ,1
turn  your  lamp  down  low ,1
holy  fuck ,1
whats  brown  and  rhymes  with  snoop  dr  dre  fuck  you  carl ,1
we  operate  by  consensus  what  if  the  americans  object  we  dont  operate ,1
the  only  fear  i  have  is  my  failure  to  adhear  his  path ,1
that  ladies  and  gentlemen  was  a  season  opener ,1
things  that  are  irritating  microsoft  excel ,1
the  best  way  to  describe  propname  is  as  an  irl  troll ,1
record  so  hard  it  broke  the  needle ,1
even  when  its  free  it  aint  cheap ,1
i  find  it  absolutely  appalling  that  anyone  could  believe  that  political  affiliation  would  be  used  to  determine  who  receives  medical  treatment  thats  what  race  and  socioeconomic  standing  are  for ,1
thanks  folks ,1
what  the  fuck  steelers ,1
in  other  news  the  steelers  4th  quarter  is  the  most  depressing  thing  of  all  time ,1
suppose  you  were  an  idiot  and  suppose  you  were  a  member  of  congress  but  i  repeat  myself ,1
bush  was  a  symptom  not  a  cause ,1
the  bridge  is  over ,1
fuckin  propname ,1
speech  is  my  hammer ,1
the  liberal  media  love  to  be  denounced  from  the  right  and  the  right  loves  to  denounce  them  because  that  makes  them  look  like  courageous  defenders  of  freedom  and  independence  while  in  fact  they  are  imposing  all  of  the  presuppositions  of  the  propaganda  systemchomsky ,1
stop  the  violence  and  start  the  revolutiontalib ,1
when  i  give  food  to  the  poor  they  call  me  a  saint  when  i  ask  why  the  poor  have  no  food  they  call  me  a  communistpropname ,1
the  best  argument  against  democracy  is  a  fiveminute  conversation  with  the  average  voter ,1
what  i  didnt  want  more  characters  on  heroes ,1
and  until  peoples  learn  to  spot  the  fanning  of  mass  emotions  and  the  sowing  of  bitterness  suspicion  and  intolerance  as  crimes  in  themselves    as  perhaps  the  greatest  disservice  that  can  be  done  to  the  cause  of  popular  government    this  sort  of  thing  will  continue  to  occur ,1
thank  you  propname  for  still  being  on  the  ballot  so  that  stupid  people  could  vote  for  you ,1
how  impious  is  the  title  of  sacred  majesty  applied  to  a  worm  who  in  the  midst  of  his  splendor  is  crumbling  into  dustpropname  they  dont  make  writers  like  they  used  to ,1
fuck  you  dolphin ,1
yankees  woooo ,1
necessity  is  the  plea  for  every  infringement  of  human  freedom  it  is  the  argument  of  tyrants  it  is  the  creed  of  slaves    propname ,1
steelers ,1
britains  desire  to  be  a  big  player  on  the  world  stage  has  delivered  huge  benefits  including  being  dragged  into  a  series  of  catastrophic  wars  with  americas  throbbing  tumescence  lodged  firmly  at  the  back  of  our  throat  while  at  the  same  time  being  unable  to  afford  decent  roads  railways  schools  and  hospitals  its  what  we  call  a  winwin ,1
my  fucking  computer  got  a  virus  incredible ,1
i  have  to  quit  drinking  diet  coke  much  sadness  and  headaches ,1
all  aboard  the  uss  rational  basis ,1
restoration  or  why  lts  is  incredible ,1
why  do  you  insist  that  the  human  genetic  code  is  sacred  or  taboo  it  is  a  chemical  process  and  nothing  more  for  that  matter  we  are  chemical  processes  and  nothing  more  if  you  deny  yourself  a  useful  tool  simply  because  it  reminds  you  uncomfortably  of  your  mortality  you  have  uselessly  and  pointlessly  crippled  yourself  chairman  propname  looking  god  in  the  eye ,1
spit  so  hard  that  it  oughta  be  a  crime ,1
spit  it  so  hard  it  oughta  be  a  crime ,1
fucking  propname ,1
the  mind  of  a  child  is  where  the  revolution  begins ,1
kansas  city  chiefs  over  pittsburgh  steelers  2724  disgrace ,1
i  found  my  actual  wep  key ,1
classes  over  home  in  a  week ,1
fuck  yes ,1
were  supposed  to  call  it  h1n1  i  refuse  to  back  down  to  pig  farmers  not  today  not  ever ,1
kill  them  all  god  will  recognize  his  ownpropname ,1
face  the  facts  then  act  on  them  its  the  only  mantra  i  know  the  only  doctrine  i  have  to  offer  you  and  its  harder  than  youd  think  because  i  swear  humans  seem  hardwired  to  do  anything  but  face  the  facts  dont  pray  dont  wish  dont  buy  into  centuriesold  dogma  and  dead  rhetoric  dont  give  in  to  your  conditioning  or  your  visions  or  your  fuckedup  sense  of  whatever  face  the  facts  then  act ,1
stability  means  we  run  it  there  are  countries  that  are  very  stable  cuba  is  stable  but  that’s  not  called  stability ,1
avatar  best  picture ,1
wow  new  orleans ,1
now  bamboo  thinks  its  wood  and  that  pisses  me  off ,1
i  passed  stats  motherfucker ,1
hey  it  actually  is  december ,1
and  then  i  got  food  poisoning ,1
show  me  a  completely  smooth  operation  and  ill  show  you  a  cover  up  real  boats  rock  propname ,1
if  i  see  another  king  i  think  i  shall  bite  himpropname ,1
rule  of  the  great  when  people  you  greatly  admire  appear  to  be  thinking  deep  thoughts  they  are  probably  thinking  about  lunch ,1
we  rule  by  consensus  what  if  the  americans  object  we  dont  operate ,1
libertarianism  is  just  anarchism  for  rich  people ,1
progress  is  made  by  lazy  men  looking  for  easier  ways  to  do  thingsheinlein ,1
no  one  lets  charms  in  the  vehicle  in  the  entire  united  states  marine  corps ,1
rip  propname ,1
i  didnt  know  this  but  propname  is  apparently  a  hebrew  name  that  means  the  lord  remembers  which  is  basically  incredible ,1
lets  go  lions ,1
propname  was  ejected  from  the  new  york  state  senate  which  is  good  because  he  slashed  his  girlfriend  with  a  knife ,1
good  work  golden  globes ,1
its  the  prophet  versus  them  profits  all  the  time ,1
four  day  camping  trip  holy  crap  this  is  going  to  be  fun ,0
how  do  i  change  my  name ,0
things  just  got  really  complicated ,0
im  back  and  sunburned  bad  ill  just  have  to  live  with  it  i  guess ,0
bored  to  tears  well  not  literally  but  im  still  bored ,0
whats  on  my  mind  well  hopefully  the  top  of  my  head ,0
happy  fourth  everyone ,0
is  still  doing  nothing  all  summer ,0
the  first  day  of  school  was  ssloooooww  hopefuly  it  will  get  better  as  the  year  gos  on ,0
football  first  scrimmage  today  its  gonna  be  awesome ,0
i  think  its  fun  to  run  circles  around  someone  while  they  are  running  and  even  better  if  the  get  tired  first ,0
i  think  its  fun  to  run  circles  around  someone  while  they  are  running  and  its  even  better  if  they  get  tired  first ,0
what  can  one  do  when  one  is  bored ,0
cant  wait  for  fair  bowl ,0
we  won  35  to  34  close  but  still  a  win ,0
haha  you  cant  say  im  a  bored  person  all  the  time  i  had  a  great  weekend ,0
im  so  boreded  again ,0
having  fun  at  school  hmmm  nvm ,0
its  snowing  this  morning  is  that  supposed  to  happen ,0
cant  wait  for  friday  football  game ,0
liked  the  greenhand  conference  and  enjoyed  watching  volleyball  woop  butt  today ,0
im  so  bored ,0
is  awesomely  cool ,0
homecoming  was  awesome  i  loved  getting  that  tackle  i  wanna  play  again ,0
