STATUS,cEXT,cAGR,cNEU,cCON,cOPN
hates  fml  on  principle ,n,n,y,n,y
realizes  traditional  media  hate  her  and  has  shunned  her  penvcils  in  favor  of  the  tablet  thatll  learn  em ,n,n,y,n,y
was  all  prepared  to  do  her  weekend  homeowrk  the  morning  it  was  due  but  realized  she  left  the  necessary  binder  at  school  fffffffffffff ,n,n,y,n,y
has  early  work  blargedyargdeyblah  minimuuum  waaaage  i  looove  youuu ,n,n,y,n,y
far  away    this  ship  has  taken  me  so  far  away  goshdarnit  muse  stop  being  so  awesome ,n,n,y,n,y
is  a  little  excited  to  see  the  talent  show ,n,n,y,n,y
is  tired  she  would  sleep  but  theres  a  cat  on  her  desk  that  requires  supervision ,n,n,y,n,y
i  dont  hate  you  well  you  found  me  congratulations  was  it  worth  it  the  only  thing  youve  managed  to  break  so  far  is  my  heart  this  isnt  brave  its  murder  what  did  i  ever  do  to  you  you  dont  care  do  you  please  proceed  to  andorid  hell ,n,n,y,n,y
needs  a  stupid  fluffy  book  to  read  inbetween  experiences  of  normalcy ,n,n,y,n,y
will  be  up  very  late  so  she  can  ride  with  her  dad  to  the  airport  to  pick  up  her  mamacita  from  a  as  of  now  1120  pm  landing  in  from  illinois ,n,n,y,n,y
is  in  complete  love  with  the  blackberry  her  mom  just  surprised  her  with  and  yes  she  is  so  excited  that  caps  are  completely  necessary  3  3  3  3  33 ,n,n,y,n,y
is  looking  forward  to  early  january  not  the  birthday  per  se  but  the  potential  to  meet  a  good  friend   ,n,n,y,n,y
needs  to  stop  listening  to  her  normal  playlist  if  she  wants  to  stop  waking  up  feeling  like  shes  missed  something  big ,n,n,y,n,y
spews  toxic  gas  into  your  personal  air  bubble  its  super  effective ,n,n,y,n,y
has  a  comfortably  comfy  and  mildly  oversized  cotton  jacket  from  walmart  yay  its  so  soft  3  3  3 ,n,n,y,n,y
thinks  oviedo  play  was  awesome  as  it  should  be  sleep  though  she  beckons  sweetly  with  the  promise  of  dreams  and  pillowrelated  comfort  night  all ,n,n,y,n,y
just  made  a  nucketful  of  cookies  and  a  bunch  of  baked  fries    yes  i  am  awesome ,n,n,y,n,y
has  made  more  cookies  as  well  as  a  bunch  of  croissants  for  breakfast  and  piggies  in  various  blankets  for  tomorrow  afternoon  despite  the  lateearly  hour  this  is  only  further  awesomeness ,n,n,y,n,y
has  a  fair  idea  of  how  to  manage  the  25  kids  cliche  she  just  needs  a  very  strong  gentleman  named  propname  and  thriteen  wet  napkins ,n,n,y,n,y
saw  up  also  saw  two  chuck  norris  movies  ffffffffffff  weirdest  mix  ever ,n,n,y,n,y
has  an  autobot  lunchbox  and  can  therefore  die  happy  now    in  other  news  she  has  also  spent  the  last  three  hours  on  an  off  reading  a  webcomic  that  started  in  1999 ,n,n,y,n,y
  in  the  post  office  with  the  longoverdue  copy  of  photoshop  for  a  friend  i  win  at  the  game  of  clue ,n,n,y,n,y
clakclakclak  rawrrrrr  mel  haxxxxxx  rwrrrrrrrr  lolzlolzlolzlolz  im  so  hood  punk  stoopid  yo ,n,n,y,n,y
we  are  not  who  you  think  we  are  we  are  golden ,n,n,y,n,y
i  am  a  lumberjack  with  a  castro  hat ,n,n,y,n,y
the  day  you  wake  up  and  realize  youve  just  slept  twelve  hours  and  still  want  to  sleep  some  more  is  the  day  you  need  to  get  back  on  a  regular  sleeping  schedule ,n,n,y,n,y
actually  doesnt  mind  coloring  with  markers  as  much  as  she  thought  yay  for  coloring  vividly  creepy  villainesses  d ,n,n,y,n,y
thinks  maybe  singing  along  with  the  radio  during  most  of  the  eighthour  ride  home  didnt  help  her  throatcoughchestcold  thingvery  much ,n,n,y,n,y
drove  to  a  gas  station  number  of  times  sent  into  a  panic  behind  the  wheel  6  i  hate  40  mph  zones  d ,n,n,y,n,y
a  great  new  year  to  everybody    3  make  the  best  of  everything  you  see  and  never  let  the  bad  stuff  keep  you  down  for  long ,n,n,y,n,y
has  48  hours  to  do  pretty  much  all  her  break  work  clean  her  room  do  the  dishes  rearrange  the  furniture  in  her  room  and  practive  drop  spins  maybe  a  dozen  more  times  xd  why  not  right ,n,n,y,n,y
is  open  to  requests ,n,n,y,n,y
is  frankly  at  a  loss  as  far  as  her  current  internal  project ,n,n,y,n,y
is  gonna  stay  awake  all  night  then  i  should  be  able  to  just  pass  out  at  9  pm  tomorrow  today ,n,n,y,n,y
cant  sleep  remedies ,n,n,y,n,y
why  are  the  people  i  want  to  talk  to  never  online  when  i  am ,n,n,y,n,y
needs  to  stop  stressing  over  her  personal  stuff  homework  beckons  with  a  bejeweled  smirking  claw  and  i  must  answer  tethered  by  iron  to  the  responsibilities  of  real  life ,n,n,y,n,y
is  in  love  with  her  hair  today  3 ,n,n,y,n,y
was  right    today  was  pretty  much  fantastic  all  around ,n,n,y,n,y
feels  tomorrow  will  be  a  busy  and  very  nice  day   ,n,n,y,n,y
is  in  the  last  day  of  her  twoday  mad  dash  to  finish  can  she  get  all  her  work  done  it  time ,n,n,y,n,y
is  it  a  problem  if  my  main  reason  to  come  to  facebook  now  is  to  join  groups  and  become  a  fan  of  things ,n,n,y,n,y
had  a  three  hour  nap  this  afternoon  and  cant  sleep  because  of  it ,n,n,y,n,y
my  dogs  are  so  hood ,n,n,y,n,y
is  on  a  roll  one  short  of  a  turkey  now ,n,n,y,n,y
cant  breathe  and  feels  like  her  insides  are  clawing  their  way  out  through  her  belly  button  i  hate  pain ,n,n,y,n,y
is  reflecting  on  it  and  is  actually  very  happy  shes  not  in  ib  right  now ,n,n,y,n,y
has  her  class  ring  in  with  its  changes  whoop  whoop  3  d ,n,n,y,n,y
kiss  kiss  lick  3 ,n,n,y,n,y
is  too  lazy  to  put  her  stuff  back  in  order  maybe  tomorrow ,n,n,y,n,y
has  a  serious  crush  on  propname  3 ,n,n,y,n,y
has  bed  bugs  ewwwww ,y,n,y,y,n
and  mosquito  bites ,y,n,y,y,n
mondays  are  the  new  thursdays  anthony  bourdain    propname    forgetting  your  financial  troubles ,y,n,y,y,n
is  annoyed  with  herself ,y,n,y,y,n
is  not  turning  on  her  cell  at  the  moment  or  for  the  next  few  days  dont  take  it  personally ,y,n,y,y,n
is  trying  to  figure  out  everything ,y,n,y,y,n
wants  no  more  friend  or  exboyfriend  drama  drama ,y,n,y,y,n
is  out  for  the  count ,y,n,y,y,n
its  the  little  things  in  life  fresh  flowers  katie  ion  netflix  instant  movies ,y,n,y,y,n
is  bummed  the  instant  movie  didnt  pull  through ,y,n,y,y,n
wants  to  go  to  paris  anyone  care  to  accompany  me ,y,n,y,y,n
one  minute  at  a  time ,y,n,y,y,n
loves  avoiding  burning  a  whole  in  her  pocket  lesportsac  purses  and  dvd  overload ,y,n,y,y,n
really  hates  californias  economy  right  now ,y,n,y,y,n
i  lostmy  ex  is  in  a  relationship  before  me ,y,n,y,y,n
is  having  a  great  day  so  far  thanks  to  santa  paula  noon  meetings  and  my  mom ,y,n,y,y,n
is  propnames  bestbian ,y,n,y,y,n
misses  the  ability  to  drive ,y,n,y,y,n
mi  familia  de  la  cuidad  de  mexico  esta  aqui  necesito  que  practicar  mi  espanol ,y,n,y,y,n
is  wearing  red  lipstick  watching  movies  hot  boys  and  her  mother  screech  at  the  family  dog  random  doesnt  even  begin  to  describe  this  scene ,y,n,y,y,n
anthony  bourdain  bliss ,y,n,y,y,n
turbo  tax  tried  charging  me  140  dollars  to  process  my  taxes  my  mom  did  it  for  free  fuck  you  turbo  tax  and  thanks  mom  for  saving  the  day ,y,n,y,y,n
is  on  her  way  up  north  to  face  her  judgement ,y,n,y,y,n
target  is  my  savior  sandals  dresses  and  shirts  oh  my ,y,n,y,y,n
is  slightly  smitten  with  the  phoenix  family  its  weird  i  know ,y,n,y,y,n
is  hoping  to  finally  get  a  break  tomorrow ,y,n,y,y,n
rhinanna  is  just  getting  crazier  and  crazier  or  more  stupid ,y,n,y,y,n
feels  like  a  bum  without  legs ,y,n,y,y,n
having  a  job  again  is  weird  but  welcome ,y,n,y,y,n
is  3  years  to  go ,y,n,y,y,n
s  electronics  are  giving  out ,y,n,y,y,n
is  celebrating  her  90th  day  with  dieting  and  work  whahooo  not ,y,n,y,y,n
is  in  love  with  her  new  black  peacoat  who  else  is  pumped  its  fall ,y,n,y,y,n
is  sick  in  an  way  shes  never  been  physically  sick  before  feels  like  a  hangover  mixed  with  the  flu  mixed  with  weakness  and  nausea ,y,n,y,y,n
hates  the  business  that  is  the  united  states  healthcare  system ,y,n,y,y,n
thinks  rhiannas  italian  vogue  photoshoot  is  in  bad  taste  and  inappropriate  yuck ,y,n,y,y,n
is  excited  for  nbc  thursdays  especially  excited  for  community ,y,n,y,y,n
is  in  love  with  propname ,y,n,y,y,n
la  vie  en  rose  there  are  no  words  absolutely  brilliant  honest  and  beautiful  movie ,y,n,y,y,n
is  flashing  lights  kanye  style ,y,n,y,y,n
i  got  a  break  a  3000  healthcare  break  whoooooo ,y,n,y,y,n
is  actually  going  to  see  someone  besides  my  mother  on  my  day  off  no  offense  mom  u  r  fabulous  but  im  turning  into  a  13yearold  notoutoftheclosetyet  gay  man  by  the  amount  of  time  i  spend  with  you ,y,n,y,y,n
arggggggggggggg ,y,n,y,y,n
true  blood  is  getting  me  in  the  halloween  spirit  damn  bill  is  hot ,y,n,y,y,n
michael  scott  dancing  in  the  booze  cruise  episode  is  really  entertaining  to  me  right  now ,y,n,y,y,n
the  office  cleaning  and  hanging  con  mi  madre  are  my  drugs  of  choice  this  evening ,y,n,y,y,n
rip  prague  nights  fall  semester  2007 ,y,n,y,y,n
needs  a  hot  hair  cut  anyone  know  where  i  can  get  a  fierce  one  for  under  50  in  vc ,y,n,y,y,n
wants  to  know  when  she  became  a  single  35yearold  lady  tonight  i  visited  a  dating  site  and  watched  accidentally  on  purpose  and  felt  for  the  characters  seriously ,y,n,y,y,n
is  ready  for  her  day  off ,y,n,y,y,n
life  is  looking  up ,y,n,y,y,n
is  excited  to  kick  it  old  school  with  an  old  friend  in  a  new  place ,y,n,y,y,n
why  does  netflix  need  me  to  have  at  least  6  dvds  in  my  queue  i  think  5  is  quite  enough  thank  you  gluttonous  merica ,y,n,y,y,n
is  rediscovering  her  love  for  bjork ,y,n,y,y,n
money  teeth  cleaning  gmas  bus  top  secret  errand  target  rodarte  dress  for  40  some  warm  and  comfy  themed  xmas  shopping  spending  time  with  mom  coffee  sephoracom  the  office  stepping  outside  and  forgetting  how  cold  it  gets  without  proper  coverage  productive  and  selfindulgent  bliss  not  a  bad  day  off ,y,n,y,y,n
wants  to  find  a  way  to  san  fran  after  the  new  year ,y,n,y,y,n
is  in  love  with  propname ,y,n,y,y,n
is  going  to  start  using  disposable  cameras  again  she  agrees  with  stephanie  that  the  anticipation  of  not  knowing  what  will  show  up  is  very  missed ,y,n,y,y,n
thank  you  to  everyone  who  sent  me  fb  love  and  made  my  birthday  more  special  than  i  could  ever  have  imagined  im  sooooooo  lucky  to  have  so  many  great  souls  in  my  life ,y,n,y,y,n
is  very  excite  for  today  and  this  weekend ,y,n,y,y,n
its  a  beautiful  fall  day  in  southern  california ,y,n,y,y,n
s  gma  is  the  coolest ,y,n,y,y,n
wishes  she  was  moving  on  up  in  the  world  but  at  least  she  has  jamie  to  get  her  through  it ,y,n,y,y,n
today  is  my  2  month  birthday ,y,n,y,y,n
intervention  heroine  and  xanax  and  crack  oh  my ,y,n,y,y,n
is  having  a  bad  day  not  even  target  shoes  nor  a  good  guacamole  carls  jr  burger  could  bring  me  up ,y,n,y,y,n
summer  heights  high  jamie  jonah  and  mr  g  im  hooked  on  chris  lilley ,y,n,y,y,n
um  amy  poehler  is  rocking  my  world  right  now  seriously  the  bad  date  rant  was  hysterical  tivo  that  shit  and  by  that  shit  i  mean  parks  and  recreation ,y,n,y,y,n
ten  movies  to  watch  right  now  and  some  you  can  instant  netflix  1  la  vie  en  rose  2  shrink  if  you  love  la  3  paris  jetaime  if  you  love  paris  3  clay  pidgeons  propname  is  priceless  4  quills  5  away  we  go  6  sunshine  cleaning  7  a  league  of  their  own  8  smart  people  i  heart  propnames  page  and  sjp  9  frostnixon  10  doubt ,y,n,y,y,n
is  stuck  on  bandaid  brand  cuz  bandaids  stuck  on  me ,y,y,n,n,y
just  going  to  grab  some  raw  fish ,y,y,n,n,y
saw  hp6  funny  lots  of  awesome  awkward  silences  but  the  scriptwriter  needs  to  have  his  fingers  broken  not  only  did  they  achieve  new  and  improved  levels  of  editing  important  plot  elements  out  but  they  are  getting  increasingly  more  creative  with  the  n ,y,y,n,n,y
need  to  relearn  my  patterns  again  awesome ,y,y,n,n,y
free  slurpee  day ,y,y,n,n,y
has  got  to  stop  waking  up  at  1pm ,y,y,n,n,y
is  not  feeling  exactly  topnotch ,y,y,n,n,y
will  have  too  many  notifications  at  the  next  log  in ,y,y,n,n,y
first  day  of  school  done  finances  are  going  to  be  the  end  of  me ,y,y,n,n,y
is  tired  and  for  some  reason  is  looking  forward  to  classes  starting ,y,y,n,n,y
2  months  of  hell  yet  again  fml ,y,y,n,n,y
got  to  play  with  fire  in  front  of  a  crowd  yay ,y,y,n,n,y
is  in  love  with  ren  fest ,y,y,n,n,y
3  days ,y,y,n,n,y
what  a  great  day ,y,y,n,n,y
loves  the  pirate  english  version  of  facebook ,y,y,n,n,y
has  a  choice ,y,y,n,n,y
2  days ,y,y,n,n,y
ren  fest  with  rain    still  good ,y,y,n,n,y
kindly  thanks  everyone  who  wished  him  a  happy  birthday ,y,y,n,n,y
finance  class   ,y,y,n,n,y
gets  to  sleep  tonight ,y,y,n,n,y
3  hours  left ,y,y,n,n,y
as  much  as  i  like  our  familys  mechanic  i  really  wish  wed  stop  giving  him  so  much  business   ,y,y,n,n,y
is  dying  heeeeelppppp ,y,y,n,n,y
saturday  was  easily  one  of  the  best  days  of  my  entire  life ,y,y,n,n,y
feeling  slightly  better ,y,y,n,n,y
ive  done  it    i  procrastinated  enough  by  playing  bejeweled  blitz  to  cause  it  to  go  offline  mlia ,y,y,n,n,y
is  potentially  going  to  be  pulling  an  allnighter  feel  free  to  txt  to  keep  me  entertainedawake ,y,y,n,n,y
 ,y,y,n,n,y
finally  caught  up  on  sleep  d  now  off  to  rake  more  leaves  and  then  lose  sleep  yet  again  while  studying  accounting    call  me  if  ur  bored  ill  be  up  late ,y,y,n,n,y
attention  everyone  vote  for  the  short  after  hours  to  support  propname    our  local  michigan  talent  and  a  wonderful  person  repost  please ,y,y,n,n,y
is  looking  forward  to  eating  his  body  weight  tomorrow   ,y,y,n,n,y
yesterday  after  school  i  got  bored  and  decided  to  go  into  the  backyard  and  play  with  my  slingshot  i  didnt  have  any  ammo  so  i  just  used  peanuts  and  shot  them  at  trees  i  decided  to  shoot  at  one  really  far  away  out  of  nowhere  a  squirrel  leaped  out  of  a  tree  intercepted  the  peanut  landed  on  another  tree  ate  the  peanut  gave  me  what  looked  like  a  thumbsup  and  ran  away  ninja  squirrel  you  amaze  me  mlia ,y,y,n,n,y
would  love  to  sleep  but  propname  writes  too  damn  well ,y,y,n,n,y
is  rather  looking  forward  to  the  holidays  because  of  his  potential  whereabouts  during  that ,y,y,n,n,y
gets  overly  excited  when  pressing  the  wrong  buttons  on  the  keyboard  causes  the  discovery  of  a  new  shortcut   ,y,y,n,n,y
considers  himself  to  be  one  of  the  luckiest  men  ever   ,y,y,n,n,y
wow  i  just  spent  20  minutes  reading  just  this  one  strip ,y,y,n,n,y
cant  handle  reading  any  more  crap  about  barbies  and  other  competing  brand  dolls  this  is  ridiculous    the  only  thing  making  me  feel  a  little  more  manly  is  the  beer  in  my  hand ,y,y,n,n,y
acquired  6  brothers  and  sisters  today ,y,y,n,n,y
4  school  days  left  until  winter  break  yay ,y,y,n,n,y
will  probably  be  up  all  night    feel  free  to  txt  or  chat ,y,y,n,n,y
lmao  512  you  kept  spraying  the  cat  with  water  and  then  telling  it  to  man  up  when  it  cried ,y,y,n,n,y
listening  to  some  very  odd  combinations  of  music  and  blames  the  late  hour  for  it ,y,y,n,n,y
wishes  it  was  december  17th  sooner   ,y,y,n,n,y
cannot  wait  to  pass  out    too  bad  thats  not  gonna  happen  til  friday  night ,y,y,n,n,y
gonna  be  at  the  library  til  late  then  at  the  prezs  house  even  later  txt  or  facebook  if  need  anything    call  if  being  killed ,y,y,n,n,y
well  expected  returns  are  like  oh  its  just  you  but  unexpected  returns  are  like  whoa ,y,y,n,n,y
cant  believe  how  much  food  and  beverages  were  consumed  last  night ,y,y,n,n,y
snow ,y,y,n,n,y
stupid  people  are  stupid  and  beverly  hills  police  is  at  its  best  as  usual    propname  needs  to  call  me ,y,y,n,n,y
epic  today  while  walking  on  campus  i  saw  three  people  riding  a  motorized  couch  random  mlia ,y,y,n,n,y
is  excited  for  relaxing  a  little  bit  tonight   ,y,y,n,n,y
got  home  today  up  north  was  great ,y,y,n,n,y
cant  wait  til  thursday  3 ,y,y,n,n,y
happy  new  year  facebook  denizens ,y,y,n,n,y
apparently  the  mysterious  propname  who  allegedly  works  for  my  company  decided  to  order  more  stuff  for  me  from  some  office  supply  company  im  supposed  to  get  4  more  packages  tomorrow  hmmmm  i  almost  have  enough  to  build  an  epic  fort ,y,y,n,n,y
mlig ,y,y,n,n,y
cant  wait  til  thursday  again  3 ,y,y,n,n,y
being  fancy  is  fun ,y,y,n,n,y
omg  the  sun  is  toooo  loud ,y,y,n,n,y
second  half  of  the  day  got  snowed  in    gonna  take  a  nap  and  then  be  productive   ,y,y,n,n,y
just  had  the  most  amazing  weekend  3rd  dan  test  went  well  everyone  passed  with  flying  colors  valentines  day  was  spent  well  in  the  company  of  the  best  girlfriend  in  the  world    propname  what  more  could  i  ask  for  ps  thank  you  to  everyone  who  could  make  it  out  to  novi  to  watch  me  test  or  to  celebrate  at  the  banquet  afterward    it  really  means  a  lot  to  me ,y,y,n,n,y
just  had  the  most  amazing  weekend  3rd  dan  test  went  well  everyone  passed  with  flying  colors  valentines  day  was  spent  well  in  the  company  of  the  best  girlfriend  in  the  world    propname  what  more  could  i  ask  for ,y,y,n,n,y
back  from  vacation  and  tired ,y,n,y,y,y
its  a  good  night  for  fishing ,y,n,y,y,y
damn  close  game  on  monday  my  dolphins  almost  pulled  it  off ,y,n,y,y,y
it  was  a  close  one  but  a  w  is  a  w  go  dolphins ,y,n,y,y,y
sick  as  shit ,y,n,y,y,y
happy  veterans  day  thank  a  veteran  dammit ,y,n,y,y,y
how  about  thems  steelers ,y,n,y,y,y
done  with  finals ,y,n,y,y,y
passed  the  praxis ,y,n,y,y,y
nicel  little  test  for  propname  way  to  show  them  propname  how  to  play  pro  football ,y,n,y,y,y
had  a  great  day  at  church ,y,n,y,n,y
so  not  a  day  for  work  good  thing  im  working  nights  this  week  d ,y,n,y,n,y
transformers  watched ,y,n,y,n,y
is  living  life  one  day  at  a  time ,y,n,y,n,y
just  watched  an  episode  of  locked  up  abroad  dont  take  your  freedom  for  granted  people  its  a  blessing ,y,n,y,n,y
is  going  to  die  to  self ,y,n,y,n,y
is  happy  for  his  gf  congrats  babe  i  knew  you  could  do  it ,y,n,y,n,y
in  contemplation  mode ,y,n,y,n,y
jesus  said  to  love  others  as  you  love  yourself  so  first  you  have  to  love  yourself ,y,n,y,n,y
is  trying  to  fight  it  off ,y,n,y,n,y
is  doing  to  die  to  self ,y,n,y,n,y
had  a  great  weekend  with  her  we  have  to  do  that  again  babe ,y,n,y,n,y
is  kinda  having  a  rough  morning  but  its  looking  up ,y,n,y,n,y
is  worn  and  battle  weary  but  i  refuse  to  give  up ,y,n,y,n,y
today  is  another  day  you  dont  get  better  by  making  a  right  choice  once  you  get  better  by  making  the  right  choice  everyday  over  and  over  again ,y,n,y,n,y
is  learning  constantly ,y,n,y,n,y
first  time  in  a  long  time  i  feel  like  writing ,y,n,y,n,y
is  at  an  interesting  stage  in  his  life ,y,n,y,n,y
is  sick ,y,n,y,n,y
is ,y,n,y,n,y
is  etching  closer  to  becoming  stir  crazy ,y,n,y,n,y
is  back  home  sleepy  but  cant  sleep  just  yet ,y,n,y,n,y
needs  to  tie  up  loose  ends ,y,n,y,n,y
is  going  to  sleep  soon ,y,n,y,n,y
has  had  an  interesting  start  to  saturday ,y,n,y,n,y
is  transitioning ,y,n,y,n,y
had  a  great  night ,y,n,y,n,y
is  going  to  spend  some  time  with  her ,y,n,y,n,y
has  tied  up  one  loose  end  feels  lighter  already ,y,n,y,n,y
is  still  patiently  waiting  for  9 ,y,n,y,n,y
bye  fb ,y,n,y,n,y
is  sick ,y,n,y,n,y
after  a  slight  rebuild  betsy  20  lives  to  surf  the  net  again ,y,n,y,n,y
merry  christmas  people ,y,n,y,n,y
feels  loved  and  appreciated ,y,n,y,n,y
had  a  wonderful  night  with  family  and  friends  the  night  cap  was  wonderful  though  weeeee  i  got  my  shirt ,y,n,y,n,y
is  celebrating  with  her ,y,n,y,n,y
celebrating  1  year ,y,n,y,n,y
is  smiling ,y,n,y,n,y
there  can  be  no  complaints  from  the  arsenal  fans  about  todays  results  wunna  get  wash  off ,y,n,y,n,y
i  have  no  excuses  least  of  all  for  god  like  all  tyrants  he  is  not  worthy  of  the  spit  you  would  waste  on  negotiations  the  deal  we  have  is  infinitely  simpleri  dont  call  him  to  account  and  he  extends  me  the  same  courtesy ,n,n,y,n,y
back ,n,n,y,n,y
rip  open  the  diseased  heart  of  a  corporation  and  what  spills  out  on  people ,n,n,y,n,y
youre  wicked  overseer ,n,n,y,n,y
keep  government  away  from  my  medicare  as  good  a  summary  of  american  politics  as  one  is  likely  to  get  these  days ,n,n,y,n,y
turn  your  lamp  down  low ,n,n,y,n,y
holy  fuck ,n,n,y,n,y
whats  brown  and  rhymes  with  snoop  dr  dre  fuck  you  carl ,n,n,y,n,y
we  operate  by  consensus  what  if  the  americans  object  we  dont  operate ,n,n,y,n,y
the  only  fear  i  have  is  my  failure  to  adhear  his  path ,n,n,y,n,y
that  ladies  and  gentlemen  was  a  season  opener ,n,n,y,n,y
things  that  are  irritating  microsoft  excel ,n,n,y,n,y
the  best  way  to  describe  propname  is  as  an  irl  troll ,n,n,y,n,y
record  so  hard  it  broke  the  needle ,n,n,y,n,y
even  when  its  free  it  aint  cheap ,n,n,y,n,y
i  find  it  absolutely  appalling  that  anyone  could  believe  that  political  affiliation  would  be  used  to  determine  who  receives  medical  treatment  thats  what  race  and  socioeconomic  standing  are  for ,n,n,y,n,y
thanks  folks ,n,n,y,n,y
what  the  fuck  steelers ,n,n,y,n,y
in  other  news  the  steelers  4th  quarter  is  the  most  depressing  thing  of  all  time ,n,n,y,n,y
suppose  you  were  an  idiot  and  suppose  you  were  a  member  of  congress  but  i  repeat  myself ,n,n,y,n,y
bush  was  a  symptom  not  a  cause ,n,n,y,n,y
the  bridge  is  over ,n,n,y,n,y
fuckin  propname ,n,n,y,n,y
speech  is  my  hammer ,n,n,y,n,y
the  liberal  media  love  to  be  denounced  from  the  right  and  the  right  loves  to  denounce  them  because  that  makes  them  look  like  courageous  defenders  of  freedom  and  independence  while  in  fact  they  are  imposing  all  of  the  presuppositions  of  the  propaganda  systemchomsky ,n,n,y,n,y
stop  the  violence  and  start  the  revolutiontalib ,n,n,y,n,y
